level_0,index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3
303,799,2023 62.17.01.021.00,Рязань,Пшеница,2023-04-14,2023-08-10,1.7089351185926418,3.9,17.64,11.92051282051282,18.217948717948712,21.194871794871798,21.07931034482759,10.8884163713432,17.662523268156594,20.15273433864996,20.236503699533657,Злаковые,Яровая,1.0320964491696216,0.5554254497921178,1.0421374562218375
304,800,2023 62.17.01.028.00,Рязань,Пшеница,2023-04-14,2023-08-10,1.5621850275835547,3.9,14.7,11.92051282051282,18.217948717948712,21.194871794871798,21.07931034482759,10.8884163713432,17.662523268156594,20.15273433864996,20.236503699533657,Злаковые,Яровая,1.0320964491696216,0.5554254497921178,1.0421374562218375
305,801,2023 62.18.04.003.00,Рязань,Ячмень,2023-04-14,2023-08-09,2.233042619954375,3.9,32.48,11.92051282051282,18.217948717948712,21.194871794871798,21.07931034482759,10.8884163713432,17.662523268156594,20.15273433864996,20.236503699533657,Злаковые,Яровая,1.0320964491696216,0.5554254497921178,1.0421374562218375
306,802,2023 62.18.04.009.01,Рязань,Ячмень,2023-04-14,2023-08-05,1.7569733531426395,3.9,18.7,11.715789473684213,18.321052631578944,20.673684210526314,20.710714285714285,10.740486378547995,17.528225099988695,20.076259841143315,20.063565372434702,Злаковые,Яровая,0.9753030951362174,0.7928275315902482,0.597424369382999
307,803,2023 62.18.11.008.02,Рязань,Чечевица,2023-04-14,2023-08-12,0.957963428274723,1.88,3.02,12.155,18.1725,21.2475,20.966666666666672,10.98840108401084,17.83754948621664,20.107280983755885,20.07404711887544,Бобовые,Яровая,1.1665989159891588,0.33495051378335816,1.1402190162441137
308,804,2023 62.23.03.002.00,Рязань,Чечевица,2023-04-14,2023-08-16,2.2929644950070633,1.88,16.74,12.402439024390244,18.207317073170728,21.19512195121951,21.18064516129032,11.090290171194397,17.974289802138784,20.135717319071773,19.962953632830768,Бобовые,Яровая,1.312148853195847,0.23302727103194343,1.0594046321477357
309,805,2023 62.24.14.047.00,Рязань,Ячмень,2023-04-14,2023-08-27,0.2472940115464928,3.6,1.01,12.728888888888887,19.13777777777778,20.39555555555556,20.85294117647059,11.504434690892452,18.609073055620243,19.70957853694376,19.67954028313736,Злаковые,Яровая,1.224454197996435,0.5287047221575385,0.6859770186118013
310,806,2023 62.24.14.052.00,Рязань,Ячмень,2023-04-14,2023-08-25,0.2319931665911922,3.6,0.94,12.736363636363636,18.970454545454547,20.715909090909093,21.48787878787879,11.392858363334367,18.46131114460129,19.761108130447838,19.5671193555261,Злаковые,Яровая,1.343505273029269,0.509143400853258,0.954800960461256
311,807,2023 16.13.13.002.00,Татарстан,Люцерна,2023-04-15,2023-08-02,0.0,1.02,0.0,11.675,18.322222222222223,19.86111111111111,20.34444444444445,10.50212285456188,17.222766749923128,19.79551915951348,19.89732650958316,Бобовые,Яровая,1.17287714543812,1.0994554722990948,0.0655919515976322
312,808,2023 16.13.13.005.00,Татарстан,Люцерна,2023-04-15,2023-08-02,0.0,1.02,0.0,11.675,18.322222222222223,19.86111111111111,20.34444444444445,10.50212285456188,17.222766749923128,19.79551915951348,19.89732650958316,Бобовые,Яровая,1.17287714543812,1.0994554722990948,0.0655919515976322
