index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,40_years_t1,40_years_t2,40_years_t3,culture,type_by_season,delta_t1,delta_t2,delta_t3
5595,2024 50.33.05.002.03,Москва,Пшеница,2024-05-04,2024-08-30,0.3952683700876494,4.6,2.23,8.655555555555557,19.05625,19.930188679245276,13.102269647696476,18.07368742344521,19.314512512301803,Злаковые,Яровая,-4.446714092140919,0.9825625765547876,0.6156761669434729
5596,2024 50.33.05.062.00,Москва,Пшеница,2024-05-04,2024-09-18,0.2706907072440447,4.6,1.43,9.623809523809523,19.98545454545455,18.925806451612907,13.160210994967091,18.75681515075628,17.78233685393686,Злаковые,Яровая,-3.5364014711575678,1.2286393946982699,1.1434695976760452
5597,2024 54.28.09.024.00,Новосибирск,Пшеница,2024-05-04,2024-09-26,0.8858315243894466,4.0,5.7,9.877272727272729,20.111864406779667,17.758461538461543,13.166565040650404,18.94158067334699,16.661320036380793,Злаковые,Яровая,-3.2892923133776755,1.1702837334326759,1.0971415020807491
5598,2024 56.28.08.006.00,Оренбург,Подсолнечник,2024-05-04,2024-10-17,1.2716314527997508,1.8,4.62,10.069230769230767,20.62878787878789,15.664,13.477337398373985,19.38715109794849,13.889231655739597,Астровые,Яровая,-3.4081066291432176,1.2416367808394,1.7747683442604032
5599,2024 56.28.08.017.00,Оренбург,Подсолнечник,2024-05-04,2024-10-15,2.3958730274176028,1.8,17.96,9.756000000000002,20.63030303030304,15.977027027027024,13.287162601626015,19.346217370429397,14.211608660096436,Астровые,Яровая,-3.531162601626013,1.284085659873643,1.7654183669305876
5601,2024 62.01.03.002.00,Рязань,Пшеница,2024-05-04,2024-10-16,0.8874339054121732,4.5,6.43,9.756000000000002,20.588059701492547,15.817567567567568,13.287162601626015,19.369905668383183,14.010257308745084,Злаковые,Яровая,-3.531162601626013,1.2181540331093643,1.8073102588224845
5604,2024 62.01.04.004.00,Рязань,Пшеница,2024-05-04,2024-09-12,0.4922542381805553,5.0,3.18,9.425,19.66981132075472,19.071186440677963,13.164888211382111,18.57796630649012,18.190918146752058,Злаковые,Яровая,-3.7398882113821106,1.091845014264603,0.880268293925905
5605,2024 62.18.04.015.00,Рязань,Подсолнечник,2024-05-04,2024-09-27,0.6458942957093997,2.6,2.36,9.895652173913044,20.281034482758628,17.539393939393943,13.214678331565922,19.022070499926983,16.51478857980592,Астровые,Яровая,-3.3190261576528783,1.258963982831645,1.0246053595880227
5606,2024 62.18.07.010.00,Рязань,Соя,2024-05-04,2024-09-15,1.682688374173693,2.0,8.76,9.623809523809523,19.990740740740744,18.950000000000003,13.160210994967091,18.74036728317769,17.97194252684587,Бобовые,Яровая,-3.5364014711575678,1.2503734575630538,0.9780574731541343
5607,2024 62.18.08.006.00,Рязань,Подсолнечник,2024-05-04,2024-09-29,0.6089291014759282,2.6,2.18,9.895652173913044,20.333898305084755,17.405970149253736,13.214678331565922,19.02198579943215,16.287590950636787,Астровые,Яровая,-3.3190261576528783,1.3119125056526038,1.1183791986169496
5608,2024 62.18.08.007.00,Рязань,Подсолнечник,2024-05-04,2024-10-02,0.59417646300089,2.6,2.11,9.895652173913044,20.463934426229518,16.975,13.214678331565922,19.02894188277744,15.849402641184172,Астровые,Яровая,-3.3190261576528783,1.4349925434520792,1.1255973588158295
5609,2024 62.18.08.011.01,Рязань,Подсолнечник,2024-05-04,2024-09-28,0.4819512026668537,2.6,1.61,9.895652173913044,20.333898305084755,17.38484848484849,13.214678331565922,19.02198579943215,16.383783406117818,Астровые,Яровая,-3.3190261576528783,1.3119125056526038,1.0010650787306723
5610,2024 62.18.11.021.00,Рязань,Ячмень,2024-05-04,2024-08-30,0.8796267475025635,4.0,5.64,8.655555555555557,19.05625,19.930188679245276,13.102269647696476,18.07368742344521,19.314512512301803,Злаковые,Яровая,-4.446714092140919,0.9825625765547876,0.6156761669434729
