field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
62.17.13.031.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",149.18,Рэдкот,Свои,минимальная,1.9,5.39,128.7,5.61,6.27,Серые лесные,"(2024, '62.17.13.031.00')",0.75
62.17.13.032.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",67.7,Донская,Свои,классическая с плугом,1.9,5.5,159.5,74.47,6.71,Серые лесные,"(2024, '62.17.13.032.00')",0.5
62.17.13.033.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",64.85,Донская,Свои,классическая с плугом,1.9,5.5,204.6,71.34,6.27,Серые лесные,"(2024, '62.17.13.033.00')",0.5
62.17.13.034.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",17.65,Галифакс,Покупные,минимальная,5.9,5.72,33.0,19.42,7.04,Серые лесные,"(2024, '62.17.13.034.00')",0.5
62.17.13.035.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",103.55,Галифакс,Покупные,минимальная,5.9,6.05,56.1,5.61,6.82,Серые лесные,"(2024, '62.17.13.035.00')",1.0
62.17.13.036.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",94.25,Галифакс,Покупные,минимальная,5.9,6.05,204.6,5.61,6.93,Серые лесные,"(2024, '62.17.13.036.00')",1.0
62.17.13.037.00,Рязань,пашня,4.0,2024,Соя,"Залежь, лес",97.51,Альта,Свои,минимальная,1.9,5.5,78.1,5.61,6.6,Серые лесные,"(2024, '62.17.13.037.00')",0.5
62.17.13.038.00,Рязань,пашня,4.0,2024,Соя,"Залежь, лес",82.11,Аргента,Свои,минимальная,1.9,5.61,104.5,90.32,7.15,Серые лесные,"(2024, '62.17.13.038.00')",0.5
62.17.13.039.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",192.44,Ликамеро,Свои,минимальная,3.9,5.39,146.3,5.61,7.15,Серые лесные,"(2024, '62.17.13.039.00')",1.0
62.17.13.040.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",249.43,Донская,Свои,минимальная,1.9,5.61,111.1,5.61,7.26,Серые лесные,"(2024, '62.17.13.040.00')",1.0
62.17.13.041.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",36.73,Галифакс,Покупные,минимальная,5.9,5.83,86.9,40.4,6.93,Серые лесные,"(2024, '62.17.13.041.00')",0.5
62.17.13.042.00,Рязань,пашня,4.0,2024,Кукуруза зерно,"Залежь, лес",55.38,Галифакс,Покупные,минимальная,5.9,5.17,77.0,60.92,6.27,Серые лесные,"(2024, '62.17.13.042.00')",0.75
62.17.13.043.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",103.13,Кермит,Свои,классическая с плугом,1.9,5.61,148.5,5.61,7.37,Серые лесные,"(2024, '62.17.13.043.00')",0.5
62.17.13.044.00,Рязань,пашня,3.0,2024,Соя,"Залежь, лес",234.26,Аргента,Свои,минимальная,1.9,5.39,121.0,5.61,7.59,Серые лесные,"(2024, '62.17.13.044.00')",0.75
62.17.13.045.00,Рязань,пашня,3.0,2024,Чечевица зеленая,"Залежь, лес",83.82,Донская,Свои,классическая с плугом,1.9,5.5,88.0,92.2,7.15,Серые лесные,"(2024, '62.17.13.045.00')",0.5
62.17.13.046.00,Рязань,пашня,3.0,2024,Чечевица зеленая,"Залежь, лес",127.96,Донская,Свои,классическая с плугом,1.9,5.61,107.8,5.61,6.71,Серые лесные,"(2024, '62.17.13.046.00')",0.75
62.17.13.047.00,Рязань,пашня,4.0,2024,Оз.пшеница мягкая,"Залежь, лес",113.91,Цефей,Свои,минимальная,4.9,5.5,110.0,5.61,6.71,Серые лесные,"(2024, '62.17.13.047.00')",1.0
62.17.13.048.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",75.55,Донская,Свои,классическая с плугом,1.9,5.61,106.7,83.11,5.72,Серые лесные,"(2024, '62.17.13.048.00')",0.5
62.17.13.049.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",30.99,Рэдкот,Свои,минимальная,1.9,5.61,101.2,34.09,8.14,Серые лесные,"(2024, '62.17.13.049.00')",0.25
62.17.13.051.00,Рязань,пашня,3.0,2024,Чечевица зеленая,"Залежь, лес",133.73,Кермит,Свои,классическая с плугом,1.9,5.72,159.5,5.61,7.37,Серые лесные,"(2024, '62.17.13.051.00')",0.75
62.17.13.052.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",140.36,Рэдкот,Свои,минимальная,1.9,5.39,56.1,5.61,7.04,Серые лесные,"(2024, '62.17.13.052.00')",0.75
62.17.13.053.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",243.99,Рэдкот,Свои,минимальная,1.9,5.94,165.0,5.61,7.48,Серые лесные,"(2024, '62.17.13.053.00')",0.75
62.17.13.054.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",121.94,Донская,Свои,классическая с плугом,1.9,5.17,80.3,5.61,6.93,Серые лесные,"(2024, '62.17.13.054.00')",0.75
62.17.13.055.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",287.96,Ликамеро,Свои,минимальная,3.9,5.39,79.2,5.61,6.82,Серые лесные,"(2024, '62.17.13.055.00')",1.0
62.17.13.056.00,Рязань,пашня,4.0,2024,Оз.пшеница мягкая,"Залежь, лес",54.1,Цефей,Свои,минимальная,4.9,5.72,170.5,59.51,5.94,Серые лесные,"(2024, '62.17.13.056.00')",0.75
62.17.13.057.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",98.57,Рэдкот,Свои,минимальная,1.9,5.39,62.7,5.61,7.26,Серые лесные,"(2024, '62.17.13.057.00')",0.5
62.17.13.058.00,Рязань,пашня,4.0,2024,Яр.рапс,"Залежь, лес",156.45,Циклус,Покупные,минимальная,2.2,5.61,84.7,5.61,7.26,Серые лесные,"(2024, '62.17.13.058.00')",0.75
62.17.13.059.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",43.08,Рэдкот,Свои,минимальная,1.9,5.5,132.0,47.39,6.27,Серые лесные,"(2024, '62.17.13.059.00')",0.25
62.17.13.060.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",413.37,Кермит,Свои,классическая с плугом,1.9,5.28,165.0,5.61,7.59,Серые лесные,"(2024, '62.17.13.060.00')",1.0
62.17.13.061.00,Рязань,пашня,4.0,2024,Яр.рапс,"Залежь, лес",422.0,Джокер,Покупные,минимальная,2.2,5.5,97.9,5.61,7.04,Серые лесные,"(2024, '62.17.13.061.00')",1.0
62.17.13.062.00,Рязань,пашня,4.0,2024,Чечевица красная,"Залежь, лес",102.25,Рэдкот,Свои,минимальная,1.9,5.39,225.5,5.61,7.37,Серые лесные,"(2024, '62.17.13.062.00')",0.5
