field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
62.18.07.006.01,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",35.0,Одета,Покупные,минимальная,3.9,261.8,279.22,4.89,5.88,Серые лесные,"(2023, '62.18.07.006.01')",0.5
62.18.07.006.02,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",7.67,Канюк,Свои,минимальная,3.9,261.8,279.22,4.89,5.88,Серые лесные,"(2023, '62.18.07.006.02')",0.25
62.18.07.007.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",185.94,П 7515,Покупные,минимальная,5.8,144.25,156.7,6.4,5.8,Серые лесные,"(2023, '62.18.07.007.00')",1.0
62.18.07.008.01,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",67.3,Аргента,Покупные,минимальная,1.7,134.13,195.11,6.26,5.53,Серые лесные,"(2023, '62.18.07.008.01')",0.5
62.18.07.008.02,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",329.57,Сиберия,Свои,минимальная,1.7,134.13,195.11,6.26,5.53,Серые лесные,"(2023, '62.18.07.008.02')",1.0
62.18.07.009.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",206.6,П 7043,Покупные,минимальная,5.8,259.49,171.2,6.13,6.05,Серые лесные,"(2023, '62.18.07.009.00')",1.0
62.18.07.010.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",221.85,П 7043,Покупные,минимальная,5.8,175.05,188.87,5.56,5.92,Серые лесные,"(2023, '62.18.07.010.00')",1.0
62.18.07.011.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",183.68,Сиберия,Свои,нулевая с прямым посевом,1.7,224.45,181.91,5.41,6.22,Серые лесные,"(2023, '62.18.07.011.00')",0.75
62.18.07.012.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",39.61,Канюк,Свои,минимальная,3.9,196.46,108.02,5.35,5.46,Серые лесные,"(2023, '62.18.07.012.00')",0.5
62.18.07.013.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",136.71,Сиберия,Свои,нулевая с прямым посевом,1.7,207.21,223.64,5.57,5.62,Серые лесные,"(2023, '62.18.07.013.00')",0.75
62.18.07.015.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",168.4,Канюк,Свои,минимальная,3.9,250.37,213.97,4.79,5.85,Серые лесные,"(2023, '62.18.07.015.00')",1.0
62.18.08.001.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",52.28,П 7515,Покупные,минимальная,5.8,200.93,202.4,4.03,5.92,Серые лесные,"(2023, '62.18.08.001.00')",0.75
62.18.08.002.00,Рязань,пашня,4.0,2023,"Не используется, чужая земля","Залежь, лес",145.79,(нет сорта),Покупные,минимальная,2.0,199.53,276.28,4.45,5.71,Серые лесные,"(2023, '62.18.08.002.00')",1.0
62.18.08.003.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",32.9,П 7515,Покупные,минимальная,5.8,361.9,391.6,4.51,6.44,Серые лесные,"(2023, '62.18.08.003.00')",0.5
62.18.08.004.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",42.02,Ликамеро,Свои,минимальная,3.9,293.04,383.46,5.5,5.59,Серые лесные,"(2023, '62.18.08.004.00')",0.5
62.18.08.005.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",48.93,П 7515,Покупные,минимальная,5.8,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.08.005.00')",0.75
62.18.08.006.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",49.03,Ликамеро,Свои,минимальная,3.9,263.45,242.55,5.5,5.78,Серые лесные,"(2023, '62.18.08.006.00')",0.5
62.18.08.007.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",155.88,Ликамеро,Свои,минимальная,3.9,212.59,277.14,5.35,5.76,Серые лесные,"(2023, '62.18.08.007.00')",1.0
62.18.08.008.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",66.61,Ликамеро,Свои,минимальная,3.9,115.5,160.88,4.83,5.64,Серые лесные,"(2023, '62.18.08.008.00')",0.75
62.18.08.009.01,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",47.0,Ликамеро,Свои,минимальная,3.9,139.99,166.33,4.97,5.64,Серые лесные,"(2023, '62.18.08.009.01')",0.5
62.18.08.009.02,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",20.0,Канюк,Свои,минимальная,3.9,139.99,166.33,4.97,5.64,Серые лесные,"(2023, '62.18.08.009.02')",0.25
62.18.08.009.03,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",84.66,Канюк,Свои,минимальная,3.9,139.99,166.33,4.97,5.64,Серые лесные,"(2023, '62.18.08.009.03')",0.75
62.18.08.010.01,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",64.0,Ликамеро,Свои,минимальная,3.9,184.39,233.2,5.45,6.16,Серые лесные,"(2023, '62.18.08.010.01')",0.75
62.18.08.010.02,Рязань,пашня,4.0,2023,Пар,"Залежь, лес",3.26,(нет сорта),Покупные,минимальная,2.0,184.39,233.2,5.45,6.16,Серые лесные,"(2023, '62.18.08.010.02')",1.0
62.18.08.011.01,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",33.2,Ликамеро,Свои,минимальная,3.9,122.78,248.81,5.31,5.47,Серые лесные,"(2023, '62.18.08.011.01')",0.5
62.18.08.011.02,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",133.86,Ликамеро,Свои,минимальная,3.9,122.78,248.81,5.31,5.47,Серые лесные,"(2023, '62.18.08.011.02')",1.0
62.18.08.012.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",35.92,Сиберия,Свои,минимальная,1.7,145.48,219.45,5.06,5.28,Серые лесные,"(2023, '62.18.08.012.00')",0.25
62.18.08.013.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",244.13,Аргента,Покупные,минимальная,1.7,151.43,216.41,5.14,5.61,Серые лесные,"(2023, '62.18.08.013.00')",0.75
62.18.08.014.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",236.95,Аргента,Свои,минимальная,1.7,189.87,227.5,5.01,5.65,Серые лесные,"(2023, '62.18.08.014.00')",0.75
62.18.08.015.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",226.67,Сиберия,Свои,минимальная,1.7,266.04,209.31,5.33,5.93,Серые лесные,"(2023, '62.18.08.015.00')",0.75
62.18.08.016.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",145.98,Сиберия,Свои,минимальная,1.7,183.27,199.96,5.33,5.34,Серые лесные,"(2023, '62.18.08.016.00')",0.75
62.18.08.019.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",33.29,Сиберия,Свои,минимальная,1.7,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.08.019.00')",0.25
62.18.11.001.01,Рязань,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",37.25,Вакула,Свои,минимальная,3.9,164.14,147.85,5.99,5.59,Серые лесные,"(2023, '62.18.11.001.01')",0.5
62.18.11.001.02,Рязань,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",191.39,Маргрет,Свои,минимальная,3.9,164.14,147.85,5.99,5.59,Серые лесные,"(2023, '62.18.11.001.02')",1.0
62.18.11.002.01,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",78.73,Аляска,Свои,минимальная,1.7,183.43,179.19,5.58,5.54,Серые лесные,"(2023, '62.18.11.002.01')",0.5
62.18.11.002.02,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",95.33,Аргента,Покупные,минимальная,1.7,183.43,179.19,5.58,5.54,Серые лесные,"(2023, '62.18.11.002.02')",0.5
62.18.11.003.00,Рязань,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",118.05,Вакула,Свои,классическая с плугом,3.9,193.01,144.76,5.43,5.46,Серые лесные,"(2023, '62.18.11.003.00')",0.75
62.18.11.004.00,Рязань,пашня,4.0,2023,Яр.ячмень,"Залежь, лес",166.68,Вакула,Свои,классическая с плугом,3.9,179.85,249.1,5.03,5.68,Серые лесные,"(2023, '62.18.11.004.00')",1.0
62.18.11.005.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",186.25,Сиберия,Свои,минимальная,1.7,271.7,207.35,4.97,5.82,Серые лесные,"(2023, '62.18.11.005.00')",0.75
62.18.11.006.01,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",106.96,Ликамеро,Свои,минимальная,3.9,199.39,146.48,6.16,5.68,Серые лесные,"(2023, '62.18.11.006.01')",0.75
62.18.11.006.02,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",144.62,Ликамеро,Свои,минимальная,3.9,199.39,146.48,6.16,5.68,Серые лесные,"(2023, '62.18.11.006.02')",1.0
62.18.11.007.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",239.34,Аргента,Свои,минимальная,1.7,255.62,211.12,4.95,5.74,Серые лесные,"(2023, '62.18.11.007.00')",0.75
62.18.11.008.01,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",170.79,Рэдкот,Свои,минимальная,1.88,197.22,205.31,6.07,5.64,Серые лесные,"(2023, '62.18.11.008.01')",0.75
62.18.11.008.02,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",109.98,Кермит,Покупные,минимальная,1.88,197.22,205.31,6.07,5.64,Серые лесные,"(2023, '62.18.11.008.02')",0.5
62.18.11.008.03,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",54.6,Рэдкот,Свои,минимальная,1.88,197.22,205.31,6.07,5.64,Серые лесные,"(2023, '62.18.11.008.03')",0.5
62.18.11.009.00,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",455.36,Рэдбоу,Свои,минимальная,1.88,206.43,202.01,5.12,5.74,Серые лесные,"(2023, '62.18.11.009.00')",1.0
62.18.11.021.00,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",7.12,Аргента,Свои,минимальная,1.7,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.11.021.00')",0.25
62.18.15.001.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",73.93,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.001.00')",1.0
62.18.15.002.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",38.16,Фаусто,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.002.00')",0.5
62.18.15.003.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",65.78,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.003.00')",1.0
62.18.15.004.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",15.29,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.004.00')",1.0
62.18.15.005.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",60.42,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.005.00')",1.0
62.18.15.006.01,Рязань,пашня,2.0,2023,Яр.пшеница мягкая,"Залежь, лес",63.8,Канюк,Свои,минимальная,3.9,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.006.01')",0.75
62.18.15.006.02,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",71.58,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.006.02')",1.0
62.18.15.006.03,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",44.56,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.006.03')",1.0
62.18.15.007.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",33.08,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.007.00')",1.0
62.18.15.008.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",86.58,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.008.00')",1.0
62.18.15.009.00,Рязань,пашня,2.0,2023,Лён масличный,"Залежь, лес",93.33,Северный,Свои,минимальная,1.5,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.009.00')",1.0
62.18.15.010.00,Рязань,пашня,2.0,2023,Яр.пшеница мягкая,"Залежь, лес",135.25,Канюк,Свои,классическая с плугом,3.9,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.010.00')",1.0
62.18.15.011.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",46.21,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.011.00')",1.0
62.18.15.012.00,Рязань,пашня,2.0,2023,Яр.пшеница мягкая,"Залежь, лес",145.56,Канюк,Свои,минимальная,3.9,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.012.00')",1.0
62.18.15.013.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",56.49,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.013.00')",1.0
62.18.15.014.01,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",104.76,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.014.01')",1.0
62.18.15.014.02,Рязань,пашня,2.0,2023,Лён масличный,"Залежь, лес",42.82,Северный,Свои,минимальная,1.5,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.014.02')",1.0
62.18.15.014.03,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",20.9,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.014.03')",1.0
62.18.15.015.00,Рязань,пашня,2.0,2023,Лён масличный,"Залежь, лес",70.37,Северный,Свои,минимальная,1.5,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.015.00')",1.0
62.18.15.016.00,Рязань,пашня,2.0,2023,Лён масличный,"Залежь, лес",12.77,Северный,Свои,минимальная,1.5,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.016.00')",1.0
62.18.15.017.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",53.37,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.017.00')",1.0
62.18.15.018.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",23.97,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.018.00')",1.0
62.18.15.019.00,Рязань,пашня,2.0,2023,Яр.пшеница мягкая,"Залежь, лес",17.17,Канюк,Свои,минимальная,3.9,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.019.00')",0.25
62.18.15.020.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",95.58,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.020.00')",1.0
62.18.15.021.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",23.74,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.021.00')",1.0
62.18.15.022.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",4.06,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.022.00')",1.0
62.18.15.023.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",83.53,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.023.00')",0.5
62.18.15.024.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",110.93,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.024.00')",1.0
62.18.15.025.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",49.07,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.025.00')",0.5
62.18.15.026.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",78.32,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.026.00')",0.5
62.18.15.027.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",38.79,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.027.00')",0.5
62.18.15.028.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",97.41,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.028.00')",0.75
62.18.15.029.00,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",23.19,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.029.00')",0.25
62.18.15.030.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",5.43,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.030.00')",1.0
62.18.15.031.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",7.04,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.031.00')",1.0
62.18.15.032.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",9.45,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.032.00')",1.0
62.18.15.033.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",20.79,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.033.00')",1.0
62.18.15.034.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",29.24,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.034.00')",1.0
62.18.15.035.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",94.87,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.035.00')",1.0
62.18.15.036.01,Рязань,пашня,2.0,2023,Подсолнечник,"Залежь, лес",128.25,Суберик,Покупные,минимальная,2.46,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.036.01')",0.75
62.18.15.036.02,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",12.34,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.036.02')",1.0
62.18.15.037.00,Рязань,пашня,2.0,2023,Оз.рожь,"Залежь, лес",50.5,КВС Этерно,Свои,минимальная,3.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.037.00')",1.0
62.18.15.038.00,Рязань,пашня,2.0,2023,Лён масличный,"Залежь, лес",341.63,Северный,Свои,минимальная,1.5,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.038.00')",1.0
62.18.15.039.00,Рязань,пашня,2.0,2023,Пар,"Залежь, лес",4.39,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.039.00')",1.0
62.18.15.040.00,Рязань,пашня,2.0,2023,Залежь,"Залежь, лес",22.79,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.040.00')",1.0
62.18.15.041.00,Рязань,пашня,2.0,2023,Залежь,"Залежь, лес",21.15,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.18.15.041.00')",1.0
62.23.01.001.01,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",87.02,Рэдкот,Свои,минимальная,1.88,122.11,172.52,4.23,5.56,Серые лесные,"(2023, '62.23.01.001.01')",0.5
62.23.01.001.02,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",221.28,Рэдбоу,Свои,минимальная,1.88,122.11,172.52,4.23,5.56,Серые лесные,"(2023, '62.23.01.001.02')",0.75
62.23.01.001.03,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",90.18,Рэдкот,Свои,минимальная,1.88,122.11,172.52,4.23,5.56,Серые лесные,"(2023, '62.23.01.001.03')",0.5
62.23.01.002.01,Рязань,пашня,4.0,2023,Кукуруза корнаж,"Залежь, лес",52.38,П 7043,Покупные,минимальная,5.49,129.87,183.15,4.36,5.63,Серые лесные,"(2023, '62.23.01.002.01')",0.75
62.23.01.002.02,Рязань,пашня,4.0,2023,Кукуруза корнаж,"Залежь, лес",28.0,Талисман,Покупные,минимальная,5.49,129.87,183.15,4.36,5.63,Серые лесные,"(2023, '62.23.01.002.02')",0.5
62.23.01.003.00,Рязань,пашня,4.0,2023,Кукуруза корнаж,"Залежь, лес",14.69,Талисман,Покупные,минимальная,5.49,111.87,102.3,4.84,5.11,Серые лесные,"(2023, '62.23.01.003.00')",0.25
62.23.01.004.00,Рязань,пашня,4.0,2023,Оз.пшеница мягкая,"Залежь, лес",35.92,Бирюза,Свои,минимальная,4.8,73.65,116.73,5.17,5.71,Серые лесные,"(2023, '62.23.01.004.00')",0.5
62.23.01.005.01,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",45.39,Донская,Покупные,минимальная,1.88,75.97,144.91,4.39,5.23,Серые лесные,"(2023, '62.23.01.005.01')",0.25
62.23.01.005.02,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",32.0,Рэдкот,Свои,минимальная,1.88,75.97,144.91,4.39,5.23,Серые лесные,"(2023, '62.23.01.005.02')",0.25
62.23.01.006.01,Рязань,пашня,4.0,2023,Кукуруза корнаж,"Залежь, лес",44.0,П 7043,Покупные,минимальная,5.49,83.24,223.03,5.05,5.46,Серые лесные,"(2023, '62.23.01.006.01')",0.75
62.23.01.006.02,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",176.18,П 7043,Покупные,минимальная,5.8,83.24,223.03,5.05,5.46,Серые лесные,"(2023, '62.23.01.006.02')",1.0
62.23.01.007.00,Рязань,пашня,4.0,2023,Подсолнечник,"Залежь, лес",215.97,Сумико,Покупные,минимальная,2.46,67.45,127.76,4.86,5.0,Серые лесные,"(2023, '62.23.01.007.00')",1.0
62.23.01.008.00,Рязань,пашня,4.0,2023,Люцерна 1 г.ж.корм,"Залежь, лес",29.54,Сарга,Покупные,минимальная,1.28,77.99,118.07,4.51,5.34,Серые лесные,"(2023, '62.23.01.008.00')",0.25
62.23.01.009.00,Рязань,пашня,2.0,2023,Кукуруза зерно,"Залежь, лес",4.8,П 7043,Покупные,минимальная,5.8,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.23.01.009.00')",0.25
62.23.02.001.01,Рязань,пашня,4.0,2023,Кукуруза силос,"Залежь, лес",20.0,Талисман,Покупные,минимальная,6.38,260.42,230.68,3.91,6.04,Серые лесные,"(2023, '62.23.02.001.01')",0.5
62.23.02.001.02,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",123.67,Талисман,Покупные,минимальная,5.8,260.42,230.68,3.91,6.04,Серые лесные,"(2023, '62.23.02.001.02')",1.0
62.23.02.002.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",27.9,Талисман,Покупные,минимальная,5.8,142.56,159.13,3.52,5.92,Серые лесные,"(2023, '62.23.02.002.00')",0.5
62.23.02.003.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",47.01,Талисман,Покупные,минимальная,5.8,253.18,305.98,3.69,6.17,Серые лесные,"(2023, '62.23.02.003.00')",0.75
62.23.02.004.01,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",55.0,Талисман,Покупные,минимальная,5.8,359.4,238.56,3.85,5.88,Серые лесные,"(2023, '62.23.02.004.01')",0.75
62.23.02.004.02,Рязань,пашня,4.0,2023,Пар,"Залежь, лес",15.28,(нет сорта),Покупные,минимальная,2.0,359.4,238.56,3.85,5.88,Серые лесные,"(2023, '62.23.02.004.02')",1.0
62.23.02.005.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",9.57,Талисман,Покупные,минимальная,5.8,225.72,286.0,5.61,5.5,Серые лесные,"(2023, '62.23.02.005.00')",0.25
62.23.02.006.00,Рязань,пашня,4.0,2023,Кукуруза зерно,"Залежь, лес",111.15,Талисман,Покупные,минимальная,5.8,258.63,250.96,3.79,5.71,Серые лесные,"(2023, '62.23.02.006.00')",1.0
62.23.02.007.00,Рязань,пашня,4.0,2023,"Не используется, чужая земля","Залежь, лес",108.0,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2023, '62.23.02.007.00')",1.0
62.23.03.001.01,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",143.38,Пруденс,Свои,минимальная,1.7,62.63,154.79,3.04,5.68,Серые лесные,"(2023, '62.23.03.001.01')",0.75
62.23.03.001.02,Рязань,пашня,3.0,2023,"Залежь, лес","Залежь, лес",112.47,(нет сорта),Покупные,минимальная,2.0,62.63,154.79,3.04,5.68,Серые лесные,"(2023, '62.23.03.001.02')",1.0
62.23.03.002.00,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",102.55,Кермит,Покупные,минимальная,1.88,190.24,166.02,5.09,6.03,Серые лесные,"(2023, '62.23.03.002.00')",0.5
62.23.03.003.01,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",20.4,Кермит,Покупные,минимальная,1.9,60.11,134.2,5.06,5.84,Серые лесные,"(2023, '62.23.03.003.01')",0.25
62.23.03.003.02,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",12.0,Рэдкот,Свои,минимальная,1.9,60.11,134.2,5.06,5.84,Серые лесные,"(2023, '62.23.03.003.02')",0.25
62.23.03.004.00,Рязань,пашня,4.0,2023,Яр.пшеница мягкая,"Залежь, лес",239.0,Ликамеро,Свои,минимальная,3.9,111.17,237.64,5.96,5.4,Серые лесные,"(2023, '62.23.03.004.00')",1.0
62.23.03.005.00,Рязань,пашня,4.0,2023,Чечевица,"Залежь, лес",112.26,Рэдбоу,Свои,минимальная,1.9,76.69,299.2,6.03,5.77,Серые лесные,"(2023, '62.23.03.005.00')",0.5
62.23.03.006.01,Рязань,пашня,3.0,2023,"Залежь, лес","Залежь, лес",122.14,(нет сорта),Покупные,минимальная,2.0,50.01,211.61,3.19,5.38,Серые лесные,"(2023, '62.23.03.006.01')",1.0
62.23.03.006.02,Рязань,пашня,4.0,2023,Соя,"Залежь, лес",19.0,Пруденс,Свои,минимальная,1.7,50.01,211.61,3.19,5.38,Серые лесные,"(2023, '62.23.03.006.02')",0.25
