,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4
3121,2023 36.02.19.072.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-01,1.207373271889401,6.51,7.86,18.080487804878054,21.2609756097561,16.748780487804876,9.302439024390244,17.945862251305442,20.079093179270572,15.911396089157813,8.15791326596332
3122,2023 36.13.12.012.00,Воронеж,Соя,2023-05-26,2023-10-01,0.7803921568627451,2.55,1.99,17.01875,20.943749999999998,19.662499999999998,14.081250000000002,17.87647781165312,20.40238069699875,18.93509542930038,12.537920536005215
3123,2023 36.14.02.035.00,Воронеж,Кукуруза силос,2023-05-20,2023-08-30,5.395061728395063,8.1,43.7,17.680000000000003,19.78,21.055999999999994,20.408,16.45417344173442,20.2088805303092,20.235586348735186,19.10277817812269
3124,2023 36.14.04.002.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-01,2.525333333333333,7.5,18.939999999999998,18.080487804878054,21.2609756097561,16.748780487804876,9.302439024390244,17.945862251305442,20.079093179270572,15.911396089157813,8.15791326596332
3125,2023 36.14.04.003.00,Воронеж,Кукуруза зерно,2023-05-20,2023-10-31,3.1866666666666665,7.5,23.9,18.080487804878054,21.2609756097561,16.748780487804876,9.302439024390244,17.945862251305442,20.079093179270572,15.911396089157813,8.15791326596332
3126,2023 36.14.04.005.00,Воронеж,Кукуруза зерно,2023-05-21,2023-12-06,2.9866666666666664,7.5,22.4,18.798000000000002,20.798,13.052,0.7960000000000005,18.435982550922287,19.656922755732257,11.115927074340968,-0.03591880636534736
3127,2023 36.14.07.037.02,Воронеж,Соя,2023-05-20,2023-09-14,6.4239999999999995,2.5,16.06,18.424137931034487,20.086206896551722,20.913793103448278,16.565517241379304,16.978380525184562,20.49850569127804,19.60440999035774,16.198572697212278
3128,2023 36.14.12.010.00,Воронеж,Кукуруза зерно,2023-05-20,2023-11-28,893.1059907834101,6.51,5814.12,18.345833333333342,21.270833333333336,14.124999999999998,3.095833333333333,18.171661748650767,20.083880293601176,12.375481949550915,2.1784713641776543
3129,2023 36.14.12.014.00,Воронеж,Кукуруза зерно,2023-05-21,2023-11-23,873.5960061443932,6.51,5687.11,18.15434782608696,22.11521739130435,14.397826086956528,5.591304347826087,18.19356533901945,20.284064338511634,13.404926527268977,3.4257958243716273
3130,2023 36.14.14.009.00,Воронеж,Кукуруза зерно,2023-05-21,2023-11-11,3.0733333333333333,7.5,23.05,17.993023255813952,22.020930232558143,15.732558139534886,8.37674418604651,18.099387916084716,20.085113637227987,14.867982928841506,6.653252572308532
