index,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3,delta_t4,dif_1,dif_2,dif_3,dif_4
4183,2024 36.14.02.030.00,Воронеж,Чечевица,2024-04-19,2024-07-28,1.4287150770038428,1.5,4.76,12.304,15.856000000000002,20.036,22.044,9.227105691056911,15.732519599259092,18.53314623369244,20.040863900128635,Бобовые,Яровая,3.076894308943089,0.1234804007409096,1.5028537663075596,2.003136099871366,-5.666666666666666,-6.902439024390244,-4.665853658536584,-3.007317073170732
4184,2024 36.14.02.037.00,Воронеж,Чечевица,2024-04-20,2024-07-27,1.2919836816486494,1.5,3.96,11.833333333333334,15.154166666666669,20.508333333333333,21.504166666666663,9.47786528906956,15.466555045729825,18.669278151466145,20.00724635245836,Бобовые,Яровая,2.355468044263773,-0.3123883790631563,1.839055181867188,1.4969203142083032,-7.075609756097565,-7.346341463414634,-7.234146341463418,-3.007317073170732
4185,2024 36.14.02.045.00,Воронеж,Чечевица,2024-04-19,2024-07-28,0.9529440495221905,1.5,2.39,12.304,15.856000000000002,20.036,22.044,9.227105691056911,15.732519599259092,18.53314623369244,20.040863900128635,Бобовые,Яровая,3.076894308943089,0.1234804007409096,1.5028537663075596,2.003136099871366,-5.666666666666666,-6.902439024390244,-4.665853658536584,-3.007317073170732
4186,2024 36.14.07.026.00,Воронеж,Подсолнечник,2024-04-19,2024-09-05,1.331900289054092,1.7,4.74,12.591428571428573,18.914285714285715,21.21428571428571,19.292857142857144,10.806399535423926,17.54129053882911,19.773567129592468,18.76846106581252,Астровые,Яровая,1.7850290360046461,1.3729951754566052,1.4407185846932435,0.5243960770446243,-6.902439024390244,-6.504878048780487,-3.6750000000000007,-6.051219512195125
4187,2024 36.14.11.011.00,Воронеж,Кукуруза,2024-04-19,2024-08-10,1.9145668984896018,7.5,43.38,12.021428571428572,17.592857142857145,20.53571428571429,20.592857142857135,9.845891405342629,16.238577417208063,19.251984983016108,20.15264673524471,Судецветные,Яровая,2.1755371660859435,1.3542797256490822,1.2837293026981804,0.440210407612426,-6.902439024390244,-6.504878048780487,-4.665853658536584,-4.366666666666664
4188,2024 36.14.11.032.01,Воронеж,Кукуруза,2024-04-20,2024-08-11,1.2675108251299236,7.5,19.14,12.153571428571428,17.310714285714283,20.23928571428571,20.717857142857135,10.192699864498646,16.42030665505065,19.34554004259567,20.075331487504677,Судецветные,Яровая,1.9608715640727823,0.8904076306636348,0.8937456716900414,0.6425256553524576,-7.075609756097565,-7.346341463414634,-7.234146341463418,-4.366666666666664
4189,2024 36.14.19.016.00,Воронеж,Ячмень,2024-04-20,2024-08-03,2.651038835273702,3.2,42.13999999999999,12.05,16.199999999999996,20.54615384615385,21.226923076923075,9.819155201167398,16.0525236069401,18.9067934745777,19.86215336790253,Злаковые,Яровая,2.230844798832603,0.1474763930598968,1.6393603715761493,1.3647697090205462,-7.075609756097565,-7.346341463414634,-7.234146341463418,-3.007317073170732
4190,2024 46.22.01.011.00,Курск,Чечевица,2024-04-20,2024-07-31,1.8056623743970466,2.5,12.71,12.132,15.54,20.340000000000003,21.800000000000004,9.602555555555558,15.83511235609575,18.71659692087788,20.0944628088517,Бобовые,Яровая,2.529444444444442,-0.2951123560957516,1.6234030791221237,1.7055371911483057,-7.075609756097565,-7.346341463414634,-7.234146341463418,-3.007317073170732
4191,2024 46.22.01.012.00,Курск,Чечевица,2024-04-19,2024-07-28,1.146767330555157,2.5,5.369999999999999,12.304,15.856000000000002,20.036,22.044,9.227105691056911,15.732519599259092,18.53314623369244,20.040863900128635,Бобовые,Яровая,3.076894308943089,0.1234804007409096,1.5028537663075596,2.003136099871366,-5.666666666666666,-6.902439024390244,-4.665853658536584,-3.007317073170732
4192,2024 46.22.01.013.00,Курск,Чечевица,2024-04-19,2024-07-28,1.0466169935497294,2.5,4.62,12.304,15.856000000000002,20.036,22.044,9.227105691056911,15.732519599259092,18.53314623369244,20.040863900128635,Бобовые,Яровая,3.076894308943089,0.1234804007409096,1.5028537663075596,2.003136099871366,-5.666666666666666,-6.902439024390244,-4.665853658536584,-3.007317073170732
4193,2024 46.22.01.038.00,Курск,Свекла,2024-04-19,2024-10-05,0.0,59.8,0.0,13.150000000000004,20.28333333333333,19.716666666666654,17.57976190476191,11.737510118607682,18.486792418436853,19.67326568497805,14.558743008628678,Амарантовые,Яровая,1.4124898813923217,1.7965409148964788,0.043400981688606066,3.0210188961332314,-6.902439024390244,-4.899999999999997,-6.051219512195125,-2.3000000000000007
4194,2024 46.22.02.001.01,Курск,Свекла,2024-04-20,2024-09-26,0.0,59.8,0.0,12.590000000000002,20.1525,20.0325,18.17875,11.767613482384824,18.338576428189818,19.98672997368949,15.217842587459964,Амарантовые,Яровая,0.8223865176151772,1.8139235718101823,0.0457700263105103,2.9609074125400365,-7.346341463414634,-7.234146341463418,-6.697560975609759,-0.3902439024390247
4195,2024 46.22.02.003.00,Курск,Свекла,2024-04-19,2024-09-28,0.0,59.8,0.0,12.715000000000002,20.29,19.94,18.263750000000005,11.50492886178862,18.17304350594089,20.039723249134035,15.33393117532027,Амарантовые,Яровая,1.2100711382113811,2.11695649405911,-0.09972324913403341,2.929818824679735,-6.902439024390244,-4.899999999999997,-6.051219512195125,-2.3000000000000007
4196,2024 46.22.03.034.00,Курск,Горох,2024-04-20,2024-07-17,1.5732348637701399,3.6,13.760000000000002,11.568181818181818,15.222727272727274,19.35,21.286363636363635,9.243258807588075,15.090676457869344,17.90005918137277,20.098242936771896,Бобовые,Яровая,2.324923010593743,0.13205081485793002,1.4499408186272298,1.1881206995917388,-7.075609756097565,-7.346341463414634,-4.899999999999997,-7.234146341463418
4197,2024 62.18.11.003.00,Рязань,Чечевица,2024-04-21,2024-07-22,2.7206373166076814,2.0,28.380000000000003,11.54782608695652,15.295652173913044,20.83478260869565,22.04347826086957,9.61297278190173,15.414347887032095,18.640246436591607,20.10488261933812,Бобовые,Яровая,1.9348533050547907,-0.1186957131190507,2.194536172104044,1.9385956415314496,-7.319512195121952,-8.08292682926829,-4.885365853658531,-7.417073170731703
