,field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,yield_plan_full
5021,36.05.07.041.00,Воронеж,пашня,5.0,2023,Подсолнечник кондит.,Кукуруза силос,0.0,63.97,Джинн М,ЭС,Покупные,классическая с плугом,1.9,176.0,151.8,6.27,6.49,121.54299999999999
5022,36.05.07.042.00,Воронеж,пашня,5.0,2023,Подсолнечник кондит.,Кукуруза силос,0.0,18.57,Джинн М,ЭС,Покупные,классическая с плугом,1.9,128.7,179.3,6.6,6.49,35.283
5023,36.05.07.043.00,Воронеж,пашня,4.0,2023,Сах.свекла,Кукуруза силос,0.0,94.1,Аландо,F1,Покупные,минимальная,40.0,112.2,158.4,6.38,6.49,3764.0
5024,36.05.07.044.00,Воронеж,пашня,5.0,2023,Сах.свекла,Кукуруза силос,0.0,86.18,Виорика,F1,Покупные,минимальная,40.0,132.0,172.7,6.6,7.04,3447.2000000000003
5025,36.05.07.045.00,Воронеж,пашня,3.0,2023,Сах.свекла,Кукуруза силос,0.0,89.95,Аландо,F1,Покупные,минимальная,40.0,95.7,145.2,6.6,6.49,3598.0
5026,36.05.07.046.00,Воронеж,пашня,3.0,2023,Сах.свекла,Кукуруза силос,0.0,82.41,Мустанг,F1,Покупные,классическая с плугом,40.0,104.5,106.7,6.27,6.6,3296.3999999999996
5027,36.05.07.047.00,Воронеж,пашня,4.0,2023,Кукуруза зерно,Кукуруза силос,0.0,92.33,Максалия,F1,Покупные,минимальная,6.5,126.5,126.5,6.16,6.71,600.145
5028,36.05.07.048.00,Воронеж,пашня,5.0,2023,Сах.свекла,Кукуруза силос,0.0,27.85,Аландо,F1,Покупные,минимальная,40.0,171.6,239.8,6.16,6.38,1114.0
5029,36.05.07.049.01,Воронеж,пашня,4.0,2023,Подсолнечник кондит.,Кукуруза силос,0.0,33.0,Джинн М,ЭС,Покупные,минимальная,1.9,135.3,89.1,6.27,6.38,62.699999999999996
5031,36.05.07.050.00,Воронеж,пашня,3.0,2023,Сорго зерновое,Кукуруза силос,0.0,40.18,Калатур,F1,Покупные,минимальная,3.47,95.7,99.0,6.16,6.49,139.4246
5032,36.05.07.052.00,Воронеж,пашня,3.0,2023,Сорго зерновое,Кукуруза силос,0.0,27.83,Калатур,F1,Покупные,минимальная,3.47,78.1,72.6,6.27,6.16,96.5701
5033,36.05.07.053.00,Воронеж,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,44.68,Сириус,F1,Покупные,минимальная,7.5,104.5,138.6,6.6,6.27,335.1
5034,36.05.07.054.00,Воронеж,пашня,5.0,2023,Кукуруза силос,Кукуруза силос,0.0,38.08,Сириус,F1,Покупные,минимальная,7.5,93.5,125.4,7.04,5.83,285.59999999999997
5035,36.05.07.055.00,Воронеж,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,132.88,Золотой початок 200 СВ,F1,Покупные,классическая с плугом,7.5,99.0,112.2,6.49,6.16,996.5999999999999
5036,36.05.07.056.00,Воронеж,пашня,4.0,2023,Кукуруза силос,Кукуруза силос,0.0,110.99,Золотой початок 200 СВ,F1,Покупные,минимальная,7.5,92.4,116.6,6.82,6.16,832.425
5037,36.05.07.057.01,Воронеж,пашня,4.0,2023,Одн.тр(оз.тритикале+оз.вика) корм,Кукуруза силос,0.0,175.13,Вика озимая,РС-2,Покупные,минимальная,4.1,110.0,133.1,6.05,6.82,718.0329999999999
5040,36.05.07.058.00,Воронеж,пашня,4.0,2023,Соя,Кукуруза силос,0.0,56.42,Пруденс,РСт,Свои,минимальная,2.0,149.6,180.4,6.82,6.27,112.84
5041,36.05.07.059.00,Воронеж,пашня,3.0,2023,Соя,Кукуруза силос,0.0,35.04,Пруденс,РСт,Свои,минимальная,2.0,86.9,71.5,6.38,7.15,70.08
5042,36.05.07.060.00,Воронеж,пашня,3.0,2023,Сорго зерновое,Кукуруза силос,0.0,22.41,Калатур,F1,Покупные,минимальная,3.47,105.6,81.4,5.61,7.26,77.76270000000001
5043,36.05.07.061.00,Воронеж,пашня,4.0,2023,Кукуруза зерно,Кукуруза силос,0.0,57.96,Сириус,F1,Покупные,минимальная,6.5,130.9,121.0,6.16,6.71,376.74
5044,36.05.07.063.00,Воронеж,пашня,4.0,2023,Кукуруза силос,Кукуруза силос,0.0,39.1,Сириус,F1,Покупные,минимальная,7.5,100.1,95.7,6.82,6.16,293.25
5045,36.05.07.064.00,Воронеж,пашня,3.0,2023,Люцерна 1 г.ж.корм,Кукуруза силос,1.0,94.28,Дакота,РС-3,Свои,классическая с плугом,3.0,103.4,161.7,6.38,6.49,282.84000000000003
5046,36.05.07.065.00,Воронеж,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,121.96,Галифакс,F1,Покупные,классическая с плугом,7.5,79.2,102.3,6.38,6.38,914.6999999999999
5047,36.05.07.066.00,Воронеж,пашня,5.0,2023,Сорго зерновое,Кукуруза силос,0.0,101.0,Арски,F1,Покупные,минимальная,3.47,141.9,130.9,6.05,6.71,350.47
